MlsId,MlsName,DateListed,StreetAddress,Price,Bedrooms,FullBathrooms,HalfBathrooms,ThreeQuarterBathrooms,Appliances,Rooms,Description
16161068,CLAW,2016-09-10,7931 ZEUS DR,7900.00,4,3,1,,,"bedrooms,bathrooms","4 bedroom + 3.5 bathrooms, 3162 sqft home with pool on a 12,219 sqft lot. Cul-de-sac location, convenient to Sunset Strip, Hollywood and West Hollywood. Spacious Modern Spanish home with city views an"
16161388,CLAW,2016-09-14,1900 PETERSON AVE,2588000.00,6,3,1,2,"Microwave,RangeOven","bedrooms,bathrooms","Extraordinary view home located in the award-winning South Pasadena School district. Located minutes to Downtown LA, USC and Caltech. This home showcases stunning views of downtown, mountains & trees."
16162570,CLAW,2016-09-14,1012 2ND ST,2895000.00,3,1,,2,"Range Hood,RangeOven","bedrooms,bathrooms","Unit #1 is ""Pending"". Just one ocean view townhouse remains available for sale! Architecturally significant turn-of-the-century Victorian cottage meticulously restored and transformed into a modern ma"
16162696,CLAW,2016-09-15,1203 N SWEETZER AVE,499000.00,1,1,,,"Built-Ins,RangeOven","bedrooms,bathrooms","Remodeled, spacious and light 1 bedroom and 1 bathroom condo in the coveted West Hollywood complex. Villa Las Brisas. Large open living room and dining area with private balcony. Remodeled eat-in-kitc"
16163266,CLAW,2016-09-16,21844 PACIFIC COAST HWY,10950000.00,3,2,,,"Built-Ins,Microwave,RangeOven","bedrooms,bathrooms","Meticulously remodeled Carbon Beach jewel. This 3 bedroom, 2 bath home with gated entry and beautiful courtyard leads you to the best location on the beach! Relax and unwind in your private hot tub on"
316008853,ITECH,2016-09-19,1990 Hilldale Drive,899000.00,3,1,,1,,"bedrooms,bathrooms","Charming hilltop home! Built in 1941, this 3 bedroom 2 bathroom traditional 2 level home has been meticulously maintained by the current owners for the past 25 years and is described as having good bo"
16163996,CLAW,2016-09-20,1363 COLTON ST,2599000.00,0,,,,,,"Located in the S Echo Park / Westlake neighborhood, this double lot offers the opportunity to raise 40 residential units over 2 levels of daylight subterranean, with access off both Colton and Douglas"
16164412,CLAW,2016-09-21,1310 NAPOLI DR,6495000.00,4,3,,,"Built-In BBQ,Built-Ins,Range Hood,Microwave,RangeOven","bedrooms,bathrooms","A harmonious union between architecture and nature, this Spanish Villa is set on a half-acre of beautiful land in the desirable Palisades. Originally built in 1923, the home remains true to its Spanis"
16163826,CLAW,2016-09-22,1301 SEWARD ST,3500.00,2,1,,,"RangeOven,Microwave,Oven","bedrooms,bathrooms",Welcome to WEHO! West Hollywood HARD TO FIND pet friendly 2bd/1bath + bungalow. This very bright and charming bungalow is the main house of a detached duplex. Enjoy the serine front yard with privacy 
16164788,CLAW,2016-09-22,928 19TH ST,6475.00,2,2,1,,"Range Hood,RangeOven","bedrooms,bathrooms","Fantastic location! Flexible lease terms- Landlord will consider short, or long term. Just 2 blocks to Montana Avenue shops, cafes and restaurants! Franklin School District! Updated townhouse with 2bd"
16165062,CLAW,2016-09-22,2445 WALGROVE AVE,1235000.00,3,1,,1,"Range Hood,RangeOven","bedrooms,bathrooms",Charming 1920s farmhouse on the border of Mar Vista and Venice. This home was originally built in 1925 in La Canada and was moved to the current address in the 1960s. It exudes a vintage ranch-style c
316009006,ITECH,2016-09-25,2454 Oswego Street #201,728000.00,3,3,1,,"Free Standing Gas,Microwave,Range Hood","bedrooms,bathrooms","Architectural excellence and modern finishes combine seamlessly in this luxurious single level rear unit. Built in 2007, the complex boasts idyllic qualities like lush foliage and curved paver-lined p"
16165528,CLAW,2016-09-26,0 Ramera Mountainway,3250000.00,0,,,,,,Smashing ocean views from 91 acres in the beautiful Santa Monica Mountains overlooking Malibu and Point Dume. This offering consists of seven contiguous ocean view lots only 2 1/2 miles from Pacific C
316009078,ITECH,2016-09-26,2011 Hall Canyon Drive,3695000.00,4,2,1,2,"Built-In BBQ,Convection Oven,Cooktop - Gas,Double Oven,Microwave","bedrooms,bathrooms","This timeless contemporary Craftsman residence in La Canada, built by C.H. Anderson, was once a grove of deodar pines, transformed into a property fit for entertaining and movement. Renowned architect"
16166222,CLAW,2016-09-27,1522 AMHERST AVE,4350.00,3,2,1,,"Microwave,RangeOven","bedrooms,bathrooms",Beautifully appointed single level condo in a newer Mediterranean courtyard building. A great open floor plan with 3 bedrooms/2.5 bathrooms and filled with natural sunlight. The chef's kitchen has che
316008990,ITECH,2016-09-28,1124 East Chestnut Street #39,2400.00,2,2,,,Free Standing Gas,"bedrooms,bathrooms","Charming townhouse style condo. Spacious, beautifully maintained light filled two bedroom two bath unit with hardwood floors, fireplace, two balconies, in unit washer/dryer and private two car garage."
16167440,CLAW,2016-10-03,901 TEAKWOOD RD,1998000.00,4,3,,,"Range Hood,Microwave,RangeOven","bedrooms,bathrooms","Mid-Century modern with gorgeous canyon views. This 2,835 sqft home has 4 bed, 3 baths and is bright and spacious throughout with plenty of room for entertaining. The living room with fireplace has la"
16167460,CLAW,2016-10-03,429 MONTANA AVE,1498000.00,3,2,,,RangeOven,"bedrooms,bathrooms","Rare opportunity to purchase this wonderful 3 bed, 2 bath penthouse in a high demand Santa Monica area. Near shops, restaurants, Santa Monica Pier, Promenade, Santa Monica stairs and the beach; this h"
316009342,ITECH,2016-10-03,4842 Alminar Avenue,1339000.00,3,2,,,"Cooktop - Gas,Microwave,Oven","bedrooms,bathrooms","Welcome to 4842 Alminar Ave., considered a prime location for many in La Canada! Alminar is a quaint tree lined street not far from schools, shopping and restaurants. This cozy and charming 3 bedroom,"
316009368,ITECH,2016-10-03,4113 Lanterman Lane,1195000.00,4,1,1,1,,"bedrooms,bathrooms","Beautiful turn-key traditional in La Canada Flintridge. Fantastic floor plan for entertaining with great indoor-outdoor flow. Large living room/ dining room, cooks kitchen and breakfast nook open to t"
16165260,CLAW,2016-10-04,18913 ADOLFO AVE,865000.00,4,4,,,"Microwave,RangeOven","bedrooms,bathrooms",Welcome to this wonderful small gated community in the heart of Tarzana. Drive up and you are greeted with a stamped driveway and rose bush lined path leading to a beautiful newer 4 bedroom property. 
16168294,CLAW,2016-10-04,1 W CENTURY DR,3849000.00,2,2,1,,"Built-Ins,Range Hood,Microwave,RangeOven","bedrooms,bathrooms","Live at ""The Century"" and experience the finest in estate-style living with five-star amenities. The prestigious full-service 42-story high rise was designed by Robert A.M. Stern and features all the "
16168406,CLAW,2016-10-04,1 W CENTURY DR,18500.00,2,2,1,,"Built-Ins,Range Hood,Microwave,RangeOven","bedrooms,bathrooms","Live at ""The Century"" and experience the finest in estate-style living with five-star amenities. The prestigious full-service 42-story high rise was designed by Robert A.M. Stern and features all the "
316009344,ITECH,2016-10-04,8258 Owens Street,549000.00,3,1,,1,,"bedrooms,bathrooms","Charming traditional home on a nice tree lined street in Sunland. Built in 1953, this 3 bedroom 2 bathroom home has been well maintained and has many recent upgrades including wide plank hardwood floo"
SB16712658MR,CRMLS,2016-10-04,1110 Felbar Avenue,779000.00,3,2,99,,RangeOven,"bedrooms,bathrooms","A decorator perfect home in Torrance Gardens awaits: enter this 1,611 sq. ft. gem from a welcoming brick front porch, step into the inviting living room with beautiful wood floors, and take your time "
16168832,CLAW,2016-10-05,2041 N COMMONWEALTH AVE,3095.00,2,1,,,"Microwave,RangeOven","bedrooms,bathrooms","Welcome to 2041 N Commonwealth. Be the the first to live in this Top-floor Corner unit since the full remodel including new floors, fresh paint, new counter tops and new appliances. A large master wit"
16169036,CLAW,2016-10-06,1101 N KENTER AVE,1799000.00,3,3,,1,"Range Hood,Microwave,RangeOven","bedrooms,bathrooms",Live above the city of lights in the peaceful and desirable Crestwood Hills area of Brentwood. This 3 bed/4 bath architectural home with wonderful canyon and ocean views boasts an open floor plan and 
16169094,CLAW,2016-10-06,2765 CASIANO RD,2249000.00,5,4,1,,"Built-Ins,Range Hood,RangeOven","bedrooms,bathrooms",Come embrace a skillful blend of elements that gives this romantic Mediterranean energy and joy. Tour the thoughtful floorpan that will impress. Many incredible features & fine details make it unique.
16167196,CLAW,2016-10-07,483 CRANE,599000.00,2,1,,,,"bedrooms,bathrooms","Enchanting 1928 Spanish Bungalow high atop Mt. Washington. Perched above street level on a street-to-street lot, this graceful home has been lovingly preserved and is filled with original detail. Feat"
316009356,ITECH,2016-10-07,4762 La Canada Boulevard,2195000.00,4,2,1,1,"Cooktop - Gas,Double Oven,Gas Grill,Range Hood","bedrooms,bathrooms","This stunning 1926 Spanish estate sits on nearly 24,000 square feet of flat land and features a detached 1-BR/1-BA GUEST HOUSE. This house combines original character details with a fantastic floor pl"
16169676,CLAW,2016-10-08,750 S BUNDY DR,875000.00,2,2,1,,Built-Ins,"bedrooms,bathrooms","Located in the heart of Brentwood, minutes from some of the best restaurants, boutiques and farmers markets in Los Angeles, this stylish condo beckons you home. Enjoy a thoughtfully-designed open floo"
16168984,CLAW,2016-10-10,2601 PURDUE AVE,799000.00,2,1,,,"Range Hood,RangeOven","bedrooms,bathrooms","Westside charmer. Coved ceilings, archways, wood floors, fireplace in a step-down living room. This home has been well maintained and upgraded with central heat and A/C, copper plumbing, CA cellar wit"
16170438,CLAW,2016-10-12,1125 NAPOLI DR,5995000.00,5,3,1,1,"Built-In BBQ,Range Hood,Microwave,RangeOven","bedrooms,bathrooms","This rare single story contemporary is a WOW! In the ""Coastal Modern"" style of its celebrity designer Tim Clarke, interiors include Balinese ceilings, floor to ceiling windows/doors, and a seamless in"
16170802,CLAW,2016-10-12,235 MAIN ST,999000.00,2,2,,,RangeOven,"bedrooms,bathrooms","A spacious expertly designed condominium located on Main Street in Venice. Located in close proximity to Whole Foods, Rose Ave, and Venice Beach. This two bedroom two bath recently updated condo boast"
316009646,ITECH,2016-10-12,526 Venado Vista Drive,1195000.00,3,2,,,,"bedrooms,bathrooms","This 1957 ranch home is located on a quiet cul-de-sac near Paradise Canyon Elementary School and hiking trails. The home offers a large living/great room with high ceilings, fireplace, built-in cabine"
16170236,CLAW,2016-10-13,2317 Dickenson Road,20000000.00,0,,,,,,"An hour outside of Los Angles with country and ocean views of Ojai sits Flying D Ranch. The ultimate ranch - surrounded by a seasonal creek and expansive terrain. Consisting of 1,281 acres and 7 parce"
316009693,ITECH,2016-10-14,1320 Loreto Drive,1126000.00,3,2,,1,"Built-Ins,Convection Oven,Cooktop - Gas,Microwave,Oven","bedrooms,bathrooms","Price Reduction! Beautiful 1926 Character Spanish! Located on a peaceful street, this lovely Spanish Colonial is immaculate. Living Room Offers Gleaming Tongue and Groove Hardwood floors and the state"
316009737,ITECH,2016-10-15,4439 Alta Canyada Road,4000.00,3,1,1,1,,"bedrooms,bathrooms",Charming 3 BR/ 3 BA home FOR LEASE in the award-winning La Canada Unified School district. The updated kitchen features granite counters and opens to the family room and dining area. Spacious Master B
316009746,ITECH,2016-10-17,330 Cordova Street #312,599000.00,2,2,1,,"Gas,Oven-Gas","bedrooms,bathrooms","Just One and half blocks (5 minute walk) from the Metro Gold Line, this heavily-treed urban oasis is conveniently located near restaurants, shopping, art galleries, Old Pasadena, Paseo, South Lake Ave"
316009802,ITECH,2016-10-18,5715 Summit Crest Drive,1450000.00,3,1,,1,"Gas/Electric Range,Oven","bedrooms,bathrooms","Beautiful property in desirable La Canada/Flintridge. Charming traditional one story house in a beautiful neighborhood, kitchen with breakfast room and convenient and spacious family room, Banquet siz"
16172792,CLAW,2016-10-19,610 N Orlando AVE,3750.00,1,2,,,"Microwave,RangeOven","bedrooms,bathrooms","Extensively Remodeled Units for Lease in prime and hip WEHO! Modern designer finishes include French Oak laminate flooring throughout, kitchen with stainless steel appliances, caesartone counters and "
16172880,CLAW,2016-10-19,610 N Orlando AVE,3750.00,2,2,,,"Microwave,RangeOven","bedrooms,bathrooms","Extensively Remodeled Units for Lease in prime and hip WEHO! Modern designer finishes include French Oak laminate flooring throughout, a kitchen with stainless steel appliances, caesartone counters an"
316009844,ITECH,2016-10-19,277 Atchison Street,3500.00,4,2,,1,,"bedrooms,bathrooms","Charming home located on a tree lined street. Great curb appeal, mature trees, backyard porch, hardwood floors, living room with a fireplace, nicely remodeled bathrooms, and kitchen, lots of closet sp"
16173052,CLAW,2016-10-20,10267 LELIA LN,1495000.00,3,3,,,,"bedrooms,bathrooms","Situated at the end of a quiet canyon lane, this stunning contemporary home offers a tranquil, serene setting. Soaring ceilings, expansive windows, and skylights create tremendous natural light throug"
16173190,CLAW,2016-10-20,3632 VALLEY MEADOW RD,1295000.00,3,2,,,RangeOven,"bedrooms,bathrooms",This picturesque mid-century ranch style home on a large quiet lot in coveted Royal Woods is the home you have been waiting for! Open and flowing public areas separated from the private bedroom wing m
16173736,CLAW,2016-10-21,525 N N. CRESCENT HEIGHTS,3995.00,2,1,,1,RangeOven,"bedrooms,bathrooms","Adorable renovated Country English cottage with hardwood floors, two bedrooms, two renovated baths and tons of natural light. Master suite with renovated spa bath with vaulted ceilings and skylight. U"
16173746,CLAW,2016-10-21,450 N SKYEWIAY RD,2894000.00,3,2,,1,"Built-In BBQ,Built-Ins,Microwave,RangeOven","bedrooms,bathrooms",Tucked away on a serene street North of Sunset in one of the most sought after areas of Brentwood is 450 N. Skyewiay. This immaculate and ample traditional home has been meticulously maintained and ri
16173754,CLAW,2016-10-21,1023 S BUNDY DR,2049000.00,2,1,1,1,"Built-Ins,RangeOven","bedrooms,bathrooms","Romantic Spanish Hacienda hidden behind a tall privacy hedge. A true retreat full of old-world charm. 2 bedrooms, 2.5 baths plus a converted garage with office, den and ~ bath. Filled with natural lig"
316009913,ITECH,2016-10-21,705 East Palm Avenue,598000.00,2,1,,,,"bedrooms,bathrooms",1940's Traditional in desirable NE Monrovia neighborhood within Gold Ribbon School boundry. This 2 bedroom 1 bath home features an open concept living room dining room w/hardwood floors and playroom t
16172810,CLAW,2016-10-24,11166 W SUNSET,4495000.00,5,5,1,,"Built-In BBQ,Built-Ins,RangeOven","bedrooms,bathrooms","A magnificent new gated home beautifully situated on a large lot (over 13,000 feet) at the intersection of Bel-Air and Westwood. Convenient and easy access to Westwood Village, Beverly Hills, Brentwoo"
16173864,CLAW,2016-10-24,11863 DARLINGTON AVE,1195000.00,2,2,1,,"Built-Ins,Microwave,RangeOven","bedrooms,bathrooms","You immediately feel at home when you step into this luxurious 2 bedrooms and 2.5 bath condominium with an open floor plan and designer finishes. The living quarters features bamboo floors, crown mold"
16174228,CLAW,2016-10-24,1712 MANZANITA PARK AVE,1995000.00,4,2,1,1,,"bedrooms,bathrooms",Step into this beautifully designed home located at the end of a cul-de-sac nestled in the hills of Malibu. This peaceful and private oasis is tucked behind a walled courtyard entry and gated driveway
16174500,CLAW,2016-10-25,245 S BURLINGAME AVE,7350000.00,5,3,1,2,"Built-Ins,Range Hood,RangeOven","bedrooms,bathrooms","Truly a rare opportunity in Brentwood Park, minutes to the Country Mart, this charming Traditional has great scale and flow -- both indoors and out -- and is ideally suited for gracious living and ent"
16174714,CLAW,2016-10-25,18326 CLIFFTOP WAY,16000.00,3,2,1,,"Microwave,RangeOven","bedrooms,bathrooms","Panoramic ocean views from this stunning, modern architectural home designed to perfection! Gorgeous open floor plan with high ceilings and skylights. The grand living room features walls of glass wit"
16174642,CLAW,2016-10-26,235 OCEAN PARK,2079000.00,3,2,,1,RangeOven,"bedrooms,bathrooms","Spectacular 3 bed/3 bath + loft townhome located in the heart of Silicon Beach, Just one block from Main Street, and three blocks from the beach! This FAIA Award winning Michael Folonis creation has a"
16175808,CLAW,2016-10-28,609 11TH ST,3195000.00,3,1,,1,"Built-Ins,Microwave,RangeOven","bedrooms,bathrooms","Charming original Spanish style 3 bedroom + 1.75 bath single level home. Approximately 2,266 sq ft on a 50~150 lot with pool and converted garage. Tons of natural light, hardwood floors and original d"
16167486,CLAW,2016-10-29,3292 INGLEWOOD,7750.00,4,2,,,RangeOven,"bedrooms,bathrooms","If you love the magnificence of a great view, this is one of best. King of the Hill panoramic views of Los Angeles and the the mountains beyond. Dramatic architectural home by Escher Gunewardena, loca"
16175522,CLAW,2016-10-29,5625 W CRESCENT PARK,799000.00,2,2,,,"Range Hood,RangeOven","bedrooms,bathrooms","Elegant contemporary two bedroom condo at the much sought after Metro in Playa Vista. Located on the 3rd floor, this unit has been impeccably maintained and was recently upgraded. Step into the formal"
